"""Id"",""Date"",""Name of document"",""Result of vote"",""Parliament or council"",""Policy area""";;;;
"1,24/10/13,""Draft amending budget No 6/2013 - Motion for resolution : vote: resolution (as a whole)"",""+"",""EP"",""Budget""";;;;
"2,24/10/13,""General Union environment action programme to 2020 - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Environment & public health""";;;;
"3,24/10/13,""Dangers arising from exposure to ionising radiation  - Draft legislative resolution : vote: legislative resolution - consultation"",""+"",""EP"",""Environment & public health""";;;;
"4,24/10/13,""Annual report from the Council to the European Parliament on the common foreign and security policy in 2012 - Motion for resolution : vote: resolution (as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"5,23/10/13,""Draft general budget of the European Union for the financial year 2014 - all sections, Part II - Motion for resolution : Revenue - Block vote 1"",""+"",""EP"",""Budget""";;;;
"6,23/10/13,""Draft general budget of the European Union for the financial year 2014 - all sections - Motion for resolution : vote: resolution (as a whole)"",""+"",""EP"",""Budget""";;;;
"7,23/10/13,""Application and enforcement of international trade rules - Draft legislative resolution : Request for referral back to committee - ordinary legislative procedure, first reading"",""+"",""EP"",""International trade""";;;;
"8,23/10/13,""Trade between the Community and third countries in drug precursors - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""International trade""";;;;
"9,23/10/13,""European Maritime and Fisheries Fund - Draft legislative resolution : Amendments by the committee responsible - separate vote(s),amendment 125 - ordinary legislative procedure, first reading"",""+"",""EP"",""Fisheries""";;;;
"10,23/10/13,""Drug precursors - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Civil liberties, justice & home affairs""";;;;
"11,23/10/13,""Climate change conference - Motion for resolution : vote: resolution (as a whole)"",""+"",""EP"",""Environment & public health""";;;;
"12,23/10/13,""Organised crime, corruption, and money laundering - Motion for resolution : vote: resolution (as a whole)"",""+"",""EP"",""Legal affairs""";;;;
"13,23/10/13,""e-justice Action Plan 2014-2018 - Motion for resolution : Paragraph 7/2"",""+"",""EP"",""Civil liberties, justice & home affairs""";;;;
"14,23/10/13,""European Semester for economic policy coordination - Motion for resolution : Paragraph 17/1"",""+"",""EP"",""Economic & monetary affairs""";;;;
"15,23/10/13,""Suspension of the SWIFT agreement as a result of NSA surveillance (EPP) - Motion for resolution : vote: resolution (as a whole)"",""-"",""EP"",""Foreign & security policy""";;;;
"16,23/10/13,""Suspension of the SWIFT agreement as a result of NSA surveillance (S&D, ALDE, Greens/EFA) - Motion for resolution : vote: resolution (as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"17,22/10/13,""Tariff quotas for wine - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""International trade""";;;;
"18,22/10/13,""Macro-financial assistance to the Kyrgyz Republic - Draft legislative resolution : Proposal to reject the Council position - ordinary legislative procedure, second reading"",""-"",""EP"",""International trade""";;;;
"19,22/10/13,""In vitro diagnostic medical devices - Draft legislative resolution : vote: Commission proposal - ordinary legislative procedure, first reading"",""+"",""EP"",""Environment & public health""";;;;
"20,22/10/13,""Medical devices - Draft legislative resolution : vote: Commission proposal - ordinary legislative procedure, first reading"",""+"",""EP"",""Environment & public health""";;;;
"21,22/10/13,""Ship recycling - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Environment & public health""";;;;
"22,22/10/13,""European statistics on demography - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Employment & social affairs""";;;;
"23,22/10/13,""Sexual and reproductive health and rights - Motion for resolution : Request for referral back to committee"",""+"",""EP"",""Gender equality""";;;;
"24,22/10/13,""Human rights in the Sahel region - Motion for resolution : Paragraph 11/2"",""+"",""EP"",""Foreign & security policy""";;;;
"25,22/10/13,""Rethinking education - Motion for resolution : vote: resolution (as a whole)"",""+"",""EP"",""Culture & education""";;;;
"26,22/10/13,""Patient safety - Motion for resolution : Paragraph 48"",""+"",""EP"",""Environment & public health""";;;;
"27,10/10/13,""European Border Surveillance System (EUROSUR) - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Civil liberties, justice & home affairs""";;;;
